Number,URL,Name,Parsed_Ingredients,Steps
1,https://www.jamieoliver.com/recipes/vegetable-recipes/asparagus-stir-fry/,Asparagus stir-fry,"['tofu', 'sesame', 'cornflour', 'soy', 'wine', 'garlic', 'asparagus', 'beansprouts', 'rice noodle']","['Place 350g of firm tofu on a plate lined with kitchen paper, then place another layer of kitchen paper on top – this will help soak up some of the moisture. Set aside until ready to use.Place a large frying pan over a medium heat, carefully cut the tofu into quarters, then cut each piece into four again. Add 1 teaspoon of groundnut oil to the pan, then add the tofu and leave to cook for 10 to 15 minutes, or until golden and crisp, turning halfway. Remove to a bowl.Toast 2 tablespoons of sesame seeds in the pan, then toss with the tofu to coat.In a small bowl, mix ½ a tablespoon of cornflour, 2 tablespoons of soy sauce and 1 tablespoon of white wine vinegar until combined.Peel and finely chop 1 clove of garlic and trim and finely slice 1 fresh red chilli. Peel a 5cm piece of ginger, then slice into matchsticks. Snap the woody ends from 320g asparagus, and slice on the bias.Place a wok over a high heat and add 1 teaspoon of groundnut oil. Once hot, stir in the garlic, chilli and ginger, followed by the asparagus and 150g of beansprouts. Cook for a couple of minutes, or until everything is fragrant and golden, stirring continuously.Stir in the cornflour mixture, reduce the heat to medium and cook for 4 to 5 minutes, or until the sauce has thickened, adding a splash of water, if needed.Serve the veggies alongside the tofu with some extra sliced red chilli and cooked rice noodles, if you like.']"
2,https://www.jamieoliver.com/recipes/fish-recipes/sweet-potato-fishcakes/,Sweet potato fishcakes,"['potato', 'potato', 'chipotle tabasco', 'fish fillet boned', 'cucumber', 'iceburg lettuce', 'yoghurt', 'wine', 'feta cheese', 'lemon']","['Wash 500g each of potatoes and sweet potatoes (leaving the skins on for extra nutritional benefit), chop into 3cm chunks and cook in a pan of boiling salted water for 15 minutes, or until cooked through. Drain, leave to steam dry and cool, then mash.Meanwhile, blacken 2 red peppers over a direct flame on the hob or in a griddle pan on a high heat, turning until charred and blistered all over.Pop into a bowl and cover with clingfilm for 10 minutes, then scrape off most of the black skin, discarding the stalks and seeds. Finely chop, dress with 1 tablespoon of extra virgin olive oil and 2 teaspoons of chipotle Tabasco, then put aside.Chop 500g of white fish fillets into 1cm dice, then mix into the cool mash really well with a pinch of sea salt and black pepper. Divide the mixture into eight even-sized balls and pat into 3cm-thick patties.Put two large non-stick frying pans on a medium-low heat with 1 tablespoon of olive oil in each (or cook in batches). Cook four fishcakes in each pan, for 5 minutes on each side, or until golden and cooked through, carefully turning with a fish slice – if they break or crack a little don’t stress, these are light, chunky, rough-and-ready fishcakes.Meanwhile, peel 1 cucumber, halve lengthways and scrape out the watery core, then slice ½ cm thick. Remove any tatty outer leaves from 1 iceberg lettuce, and roughly chop it into 1cm chunks.In a bowl, dress both with 1 heaped teaspoon of English mustard, 4 heaped tablespoons of yoghurt and 1 tablespoon of white wine vinegar, mixing well, then taste, season to perfection, and crumble over 40g of feta cheese. Pick, roughly chop and stir through most of the leaves from ½ a bunch of fresh mint (15g).Serve the fishcakes and salsa scattered with baby mint leaves, with a good portion of salad and wedges of lemon, for squeezing over.']"
3,https://www.jamieoliver.com/recipes/chicken-recipes/spring-chicken-stew/,Spring chicken stew,"['bacon', 'onion', 'carrot', 'potato', 'pearl barley', 'wholemeal flour', 'chicken stock', 'semi skimmed milk', 'courgette', 'asparagus', 'bean', 'chicken breast']","['Put a large casserole pan on a medium heat with 1 tablespoon of olive oil. Finely slice and add 2 rashers of smoked streaky bacon, strip in the leaves from 2 sprigs of fresh rosemary, and leave to get golden, stirring regularly.Meanwhile, start prepping your veg. The idea here is to chop everything roughly the same size – around 2cm – stirring each veg into the pan as you prep it. Peel, chop and add 2 onions, followed by 2 carrots, then 400g of new potatoes.Stir in 100g of pearl barley and cook everything for 10 minutes, or until starting to soften but not colour, stirring regularly.Stir in 1 heaped tablespoon of plain wholemeal flour, followed gradually by 500ml of chicken stock and 500ml of semi-skimmed milk.Simmer for 10 minutes, while you trim and quarter 2 courgettes lengthways, trim the woody ends off 1 bunch of asparagus (350g), trim just the stalk end off 200g of green beans, then chop it all into 2cm chunks. Chop 4 x 120g of chicken breast into 2cm chunks, too.Stir the chicken and courgettes into the pan, cover with a scrunched sheet of wet greaseproof paper, and simmer on a low heat for 20 minutes.Give it a good stir, add the asparagus and beans, replace the paper and cook for a further 20 minutes, or until thickened and cooked through, stirring occasionally.Stir 1 tablespoon of mint sauce through the stew, taste, season to perfection, and serve.']"
4,https://www.jamieoliver.com/recipes/chicken-recipes/chicken-goujons/,Chicken goujons,"['wholemeal pitta', 'chicken breast', 'egg', 'garlic', 'parmesan cheese', 'lemon', 'greek yoghurt', 'avocado', 'chipotle tabasco', 'gem lettuce', 'tomato']","['Preheat the oven to 200°C/400°F/gas 6.Tear 2 pitta breads into a blender and blitz into fine crumbs, then pour into a shallow tray.Slice 4 x 120g chicken breasts lengthways into 1cm strips and place in a large bowl.Add ½ a bunch of fresh basil (15g) to the blender with 1 large egg. Peel and add 2 cloves of garlic. Finely grate in 20g of Parmesan and the zest from 1 lemon, and squeeze in all the lemon juice. Add a pinch of sea salt and a good pinch of black pepper and blitz until smooth.Pour over the chicken and toss together well, massaging that flavour into the meat.Working in batches, gently turn the chicken strips in the tray of crumbs until nicely coated. Place on a large baking tray, then bake for 15 to 18 minutes, or until golden and cooked through, turning halfway.Meanwhile, quickly rinse the blender, then put in most of the remaining ½ a bunch of fresh basil (15g) and 4 heaped tablespoons of Greek yoghurt. Peel, destone and add 1 ripe avocado, then blitz until smooth.Taste and season to perfection, then divide between your plates and add a few drips of chipotle Tabasco and extra virgin olive oil to each portion.Lightly toast the remaining 4 pittas, pick apart the leaves from 2 little gem lettuces, and halve 320g of cherry tomatoes.Divide it all between your plates with the goujons, pick over the remaining basil leaves, mix it up and tuck in.']"
5,https://www.jamieoliver.com/recipes/vegetable-recipes/sweet-and-sour-stir-fry/,Sweet & sour stir-fry,"['rice noodle', 'pineapple', 'cornflour', 'soy', 'sesame', 'cashew', 'onion', 'garlic', 'sugarsnap pea', 'sprout alfalfa chickpea beansprouts', 'lime']","['In a bowl, cover 100g of fine rice noodles with boiling kettle water to rehydrate them.To make a sauce, drain the juice from 1 x 227g tin of pineapple chunks into a separate bowl, mix with 2 heaped teaspoons of cornflour, 1 tablespoon of cider vinegar, 2 teaspoons low-salt soy sauce and 4 tablespoons of water, then put aside.Put a wok or large frying pan on a high heat and lightly toast 2 teaspoons of sesame seeds while it heats up, then tip into a little bowl.Place the pineapple chunks in the dry pan, then roughly chop 30g of cashew nuts and add 1 minute later.Trim 4 spring onions, slice into 2cm chunks and add to the pan. Let it all char and get attitude while you peel 2 cloves of garlic and a 2cm piece of ginger, finely slice them with 1 fresh red chilli (deseed if you like), and finely slice 200g of sugar snaps at an angle lengthways.Add 1 tablespoon of groundnut oil to the pan, then add the garlic, ginger and chilli. Toss for 30 seconds, then toss in the sugar snaps and the more robust sprouts (200g total) for 1 minute, followed by the sauce. Bring it to the boil for a minute or two to thicken, then taste and season to perfection.Serve the stir-fry on top of the drained noodles. Quickly return the empty pan to the heat, pour in a good splash of boiling kettle water, use a wooden spoon to really scrape up all that delicious sticky goodness from the bottom, stirring for 1 minute until slightly thickened, then drizzle over the stir-fry.Sprinkle over any delicate sprouts, such as alfalfa, along with the toasted sesame seeds, and serve with lime wedges, for squeezing over.']"
6,https://www.jamieoliver.com/recipes/pasta-recipes/sardine-spaghetti/,Sardine spaghetti,"['tomato', 'sardine fillet', 'spinach', 'wholewheat spaghetti', 'lemon', 'ricotta salata']","['Halve 2 large ripe tomatoes (200g total), scoop out and discard the seeds, then place in a blender. Add 1 x 120g tin of sardine fillets (and their oil), then blitz until super-smooth, adding a splash of water to loosen, if needed.Roughly slice 200g of baby spinach, then place in a large colander in the sink.Cook 300g of wholewheat spaghetti in a large pan of boiling salted water according to the packet instructions.Pick and reserve any leafy tops from 1 bulb of fennel, then very finely slice the stalks and bulb, ideally on a mandolin (use the guard!). Add the fennel to the spaghetti pan for the last few minutes of cooking.Reserving a mugful of cooking water, drain the spaghetti and fennel over the spinach in the colander, so that the spinach starts to wilt. Return the pasta, fennel and spinach to the pan, and toss with the sardine sauce.Squeeze in the juice from 1 lemon, loosening with a splash of cooking water, if needed.Season to perfection with sea salt and black pepper, finely grate over 20g of ricotta salata (see ingredient note below) and a little lemon zest, then sprinkle over any reserved fennel tops and 1 pinch of dried chilli flakes.Cut the remaining lemon into wedges for squeezing over, then serve immediately.']"
7,https://www.jamieoliver.com/recipes/vegetable-recipes/mexican-style-roasted-veg-ragu/,Mexican-style roasted veg ragù,"['potato', 'butternut squash pumpkin', 'carrot', 'sweetcorn', 'onion', 'garlic', 'celery', 'bean', 'plum tomato', 'onion', 'lime', 'chipotle tabasco', 'rice']","['Preheat the oven to 200°C/400°F/gas 6.Scrub 2 sweet potatoes and chop into 2.5cm cubes. Peel 300g of butternut squash or pumpkin and 2 carrots, then cut into wedges. Toss in a large roasting tray with 150g of sweetcorn.Bash up 1 tablespoons of coriander seeds in a pestle and mortar with ½ a tablespoon of dried oregano and a good pinch of sea salt and black pepper, then sprinkle over the veg. Drizzle with 1 tablespoon of olive oil, give everything a good toss, then roast for 35 minutes, or until golden and soft, shaking the tray halfway through.Meanwhile, peel and finely chop 2 onions and 2 cloves of garlic, then finely chop 1 fresh red chilli. Deseed 1 green pepper and finely chop, along with 2 sticks of celery.Drizzle 2 tablespoons of olive oil into a large pan over a medium-low heat. Add the garlic, onion, chilli, pepper and celery, and cook for 10 minutes, or until softened but not coloured.Tip 2 x 400g tins of black beans into the pan (juices and all), then scrunch in 1 x 400g tin of plum tomatoes through clean hands. Season and bring to the boil, then reduce the heat to low and leave to tick away for 30 minutes, or until thickened.For the salsa, pick and chop the leaves from 1 bunch of fresh mint (30g), then trim and chop 8 spring onions. Place in a bowl, halve 4 limes and squeeze over the juice, then add a few splashes of chipotle Tabasco and stir together.Cook 300g of brown rice according to the packet instructions, then drain and set aside.When the veg is starting to turn golden, remove from the oven. Push the contents to the sides of the tray, leaving a space in the middle. Ladle the beans into the tray and return to the oven for a further 20 minutes, or until sticky and golden.Stir the roasted veggies into the beans and serve with the rice and salsa on the side.']"
8,https://www.jamieoliver.com/recipes/avocado-recipes/avocado-and-broccoli-tacos/,Griddled avocado & broccoli tacos,"['pumpkin', 'broccoli', 'avocado', 'taco', 'ricotta cheese', 'milk', 'garlic']","['Place a griddle pan over a high heat, scatter in 50g of pumpkin seeds and toast for 1 to 2 minutes, then remove to a bowl.Cut 1 head of broccoli into 1cm slices, then toss in a little olive oil and a pinch of sea salt and black pepper. Lay them on the hot griddle and cook for 3 to 4 minutes on each side, or until charred and just cooked through – you want them to retain a bit of bite.Peel, destone and slice 3 ripe avocados into wedges.Remove the broccoli from the griddle and add the avocado wedges, griddling until lightly charred on both sides.For the dressing, put 45g of fresh coriander (stalks and all) into a blender with 250g of ricotta and 1 splash of milk. Squeeze in the juice from 2 limes and peel and finely grate in 1 clove of garlic.Season with salt and pepper, blitz until combined, then spoon onto a platter.Top the dressing with the griddled veg and a drizzle of olive oil. Pick over the remaining 15g of coriander leaves and sprinkle with the toasted pumpkin seeds.Finish with a sprinkling of cayenne pepper. Serve with a pile of tacos and let everyone help themselves.']"
9,https://www.jamieoliver.com/recipes/lamb-recipes/lovely-lamb-balti/,Lovely lamb balti,"['butternut squash', 'balti curry paste', 'lamb neck fillet', 'lime', 'tub greek yoghurt', 'garlic', 'onion', 'plum tomato']","['Preheat the oven to 200ºC/400ºF/gas 6.Scrub 1 medium butternut squash, cut into 4cm chunks, then toss with ½ a jar of balti curry paste and roast in the oven for 30 minutes, or until tender.Dice 500g of lamb neck fillet into 2cm pieces, then tip into a bowl. Finely grate over the zest of 1 lime and squeeze over the juice, then stir through most of a 500g tub of Greek yoghurt, keeping some back to serve. Leave to marinate for around 30 minutes.After the squash has had 15 minutes in the oven, add a good lug of groundnut oil to a large pan on a medium heat.Peel and slice 2 cloves of garlic and a 5cm piece of ginger, then finely slice 1 fresh red chilli (deseed if you like). Tip into the pan and fry for a few minutes.Reduce the heat to low, then peel and finely slice 1 onion and add to the pan. Cook for 10 minutes, or until softened but not coloured.Tip in the roasted butternut squash and 2 x 400g of tins of plum tomatoes. Fill one of the tins with water and add that, too.Add the lamb along with a good pinch of sea salt and black pepper, then bring to the boil. Cover then simmer over a low heat for 1 hour, or until the lamb is tender, stirring occasionally.Pick and finely chop the leaves from a few sprigs of fresh coriander, to garnish. Delicious served with fluffy rice or naan bread, and the remaining yoghurt on the side.']"
10,https://www.jamieoliver.com/recipes/beef-recipes/harissa-meatball-wraps/,Harissa meatball wraps,"['minced beef', 'sachet lentil', 'lemon', 'harissa', 'cabbage', 'onion', 'apple', 'yoghurt', 'wholemeal tortilla', 'pickled']","['Place 500g minced beef and 1 x 250g sachet of cooked grains or lentils into a food processor, finely grate in the zest of 1 lemon, and tear in ½ a bunch of fresh flat-leaf parsley (15g).Add 2 teaspoons of harissa and a good pinch of sea salt and black pepper, then blitz to combine.On a large sheet of greaseproof paper, split the mixture into 24 pieces and, with wet hands, roll into balls.Trim and finely slice 350g of red cabbage and peel and finely slice 1 small red onion, then place in a bowl with the juice of ½ a lemon and a pinch of salt and pepper. Scrunch together well.Slice the apple into matchsticks and pick the leaves from ½ a bunch of fresh flat-leaf parsley (15g), then add to the bowl and toss together.Place 16 meatballs (freeze the rest for another day) into a large non-stick frying pan on a medium heat with 1 tablespoon of olive oil and fry for 7 minutes, or until golden and cooked through, turning occasionally.Meanwhile, ripple 1 teaspoon of harissa through 4 tablespoons of natural yoghurt.Warm 4 tortilla through, then serve alongside the pan of meatballs (4 per per portion), slaw, harissa yoghurt and pickled chillies (if using), then let everyone build and roll up their own.']"
